,Joke,Category
39,Why should you stand in the corner if you get cold? It’s always 90 degrees,Traditional
40,How did one one tectonic plate apologize to the other? “My fault.”,Traditional
41,What has four wheels and flies? A garbage truck.,Traditional
42,"What’s the best thing about Switzerland? I don’t know, but the flag is a big plus.",Traditional
43,Why was the librarian kicked off the plane? Because it was over booked.,Traditional
44,How do you talk to giants? Use big words!,Traditional
45,Why did Humpty Dumpty have a great fall? To make up for his miserable summer.,Traditional
46,What street do ghosts haunt? Dead ends.,Traditional
47,What did the supervisor say to the calendar? Your days are numbered,Traditional
48,Why are chemists great at solving problems? Because they have all the solutions!,Traditional
49,Have you heard about the guy who stole the calendar? He got 12 months!,Traditional
50,What’s the opposite of artificial intelligence? Natural stupidity.,Traditional
51,Why are construction workers great at parties? They always raise the roof.,Traditional
52,What’s the worst part about working at a calendar factory? No days off.,Traditional
53,Why are fewer people going into archaeology? Career advancement is in ruins.,Traditional
54,Why did the taxi driver get fired? Passengers didn’t like it when he went the extra mile.,Traditional
55,"To the guy who invented zero, thanks for nothing.",Traditional
56,Time flies like an arrow. Fruit flies like a banana.,Traditional
57,I want to be cremated as it is my last hope for a smoking hot body.,Traditional
58,My friend’s bakery burned down last night. Now his business is toast.,Traditional
59,A cross-eyed teacher couldn’t control his pupils.,Traditional
60,"I wasn’t originally going to get a brain transplant, but then I changed my mind.",Traditional
61,I hate how funerals are always at 9 a.m. I’m not really a mourning person.,Traditional
62,How did the picture end up in jail? It was framed!,Traditional
63,I bought a boat because it was for sail.,Traditional
64,What should a lawyer always wear to a court? A good lawsuit!,Traditional
65,I’ve started sleeping in our fireplace. Now I sleep like a log!,Traditional
66,"The past, the present, and the future walk into a bar. It was tense!",Traditional
67,You really shouldn’t be intimidated by advanced math… it’s easy as pi!,Traditional
68,Humans now keep chickens primarily as a source of food (consuming both their meat and eggs) and as pets.,Not Joke
69,"Chickens are omnivores. In the wild, they often scratch at the soil to search for seeds, insects, and even animals as large as lizards, small snakes, or sometimes young mice.",Not Joke
70,"Periods in a calendar (such as years and months) are usually, though not necessarily, synchronized with the cycle of the sun or the moon",Not Joke
71,"The most common type of pre-modern calendar was the lunisolar calendar, a lunar calendar that occasionally adds one intercalary month to remain synchronized with the solar year over the long term.",Not Joke
72,"A shape or figure is the form of an object or its external boundary, outline, or external surface, as opposed to other properties such as color, texture, or material type",Not Joke
73,Some simple shapes can be put into broad categories,Not Joke
74,"Golf, unlike most ball games, cannot and does not utilize a standardized playing area, and coping with the varied terrains encountered on different courses is a key part of the game",Not Joke
75,"The game at the usual level is played on a course with an arranged progression of 18 holes, though recreational courses can be smaller, often having nine holes",Not Joke
76,Singing is the act of producing musical sounds with the voice,Not Joke
77,"Singing is often done in an ensemble of musicians, such as a choir of singers or a band of instrumentalists",Not Joke
78,"Many flowers have evolved to be attractive to animals, so as to cause them to be vectors for the transfer of pollen",Not Joke
79,"In addition to facilitating the reproduction of flowering plants, flowers have long been admired and used by humans to bring beauty to their environment, and also as objects of romance, ritual, esotericism, witchcraft, religion, medicine, and as a source of food",Not Joke
80,"A refrigerator (colloquially fridge) is a commercial and home appliance consisting of a thermally insulated compartment and a heat pump (mechanical, electronic or chemical) that transfers heat from its inside to its external environment so that its inside is cooled to a temperature below the room temperature",Not Joke
81,The first cooling systems for food involved ice,Not Joke
82,Mathematics is an area of knowledge,Not Joke
83,Mathematics is widely used in science for modeling phenomena,Not Joke
84,"Squirrels are members of the family Sciuridae, a family that includes small or medium-size rodents",Not Joke
85,"The earliest known fossilized squirrels date from the Eocene epoch, and among other living rodent families, the squirrels are most closely related to the mountain beaver and to the dormice",Not Joke
86,The largest recorded egg is from a whale shark.,Not Joke
87,Several major groups of animals typically have readily distinguishable eggs.,Not Joke
88,"Generally grown as a hardy annual, lettuce is easily cultivated, although it requires relatively low temperatures to prevent it from flowering quickly",Not Joke
89,"Lettuce is a rich source of vitamin K and vitamin A, and a moderate source of folate and iron",Not Joke
90,"Most frequently made from cow's milk, butter can also be manufactured from the milk of other mammals, including sheep, goats, buffalo, and yaks",Not Joke
91,It generally has a pale yellow color,Not Joke
92,"Peanut butter is a nutrient-rich food containing high levels of protein, several vitamins, and dietary minerals",Not Joke
93,"It is typically served as a spread on bread, toast, or crackers, and used to make sandwiches (notably the peanut butter and jelly sandwich)",Not Joke
94,A teddy bear is a stuffed toy in the form of a bear,Not Joke
95,"Teddy bears are among the most popular gifts for children and are often given to adults to signify affection, congratulations or sympathy.",Not Joke
96,Chemistry is the scientific study of the properties and behavior of matter,Not Joke
97,Chemistry addresses topics such as how atoms and molecules interact via chemical bonds to form new chemical compounds,Not Joke
98,"Although the construction industry promotes economic development and brings many non-monetary benefits to many countries, it is one of the most hazardous industries.",Not Joke
99,"About 20% (1,061) of US industry fatalities in 2019 happened in construction",Not Joke
100,Construction is a general term.,Not Joke
101,Humpty Dumpty is a character in an English nursery rhyme.,Not Joke
102,Humpty Dumpty was popularised in the United States on Broadway by actor George L. Fox in the pantomime musical Humpty Dumpty,Not Joke
103,Archaeology can be considered both a social science and a branch of the humanities,Not Joke
104,"Nonetheless, today, archaeologists face many problems",Not Joke
105,The science of archaeology,Not Joke
106,this soon took over as the usual term for one major branch of antiquarian activity,Not Joke
107,"However, prior to the development of modern techniques, excavations tended to be haphazard",Not Joke
108,"Maize is widely cultivated throughout the world, and a greater weight of maize is produced each year than any other grain",Not Joke
109,"Since then, even earlier dates have been published",Not Joke
110,Orthopedic shoes are specially-designed footwear to relieve discomfort associated with many foot and ankle disorders,Not Joke
111,Some may also have a removable insole,Not Joke
112,A garbage truck is a truck specially designed to collect municipal solid waste,Not Joke
113,These trucks are a common sight in most urban areas.,Not Joke
114,"A month is a unit of time, used with calendars",Not Joke
115,"The following types of months are mainly of significance in astronomy, most of them",Not Joke
116,"Well-planned vegan diets are regarded as appropriate for all stages of life, including infancy and pregnancy",Not Joke
117,"The German Society for Nutrition—which is a non-profit organisation and not an official health agency—does not recommend vegan diets for children or adolescents, or during pregnancy and breastfeeding",Not Joke
118,Interest in veganism increased significantly in the 2010s.,Not Joke
119,the latter of whom wrote the first vegan recipe book,Not Joke
120,Bears have been hunted since prehistoric times for their meat and fur,Not Joke
121,such as being made to dance,Not Joke
122,"In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts",Not Joke
123,"The poaching and international trade of these most threatened populations are prohibited, but still ongoing",Not Joke
124,belongs to a family of names for the bear in Germanic languages,Not Joke
125,Artificial intelligence was founded as an academic discipline in 1956,Not Joke
126,"followed by new approaches, success and renewed funding.",Not Joke
127,The field was founded on the assumption that human intelligence can be so precisely described that a machine can be made to simulate it,Not Joke
128,"The traditional goals of AI research include reasoning, knowledge representation, planning, learning, natural language processing, perception, and the ability to move and manipulate objects",Not Joke
129,"This raises philosophical arguments about the mind and the ethics of creating artificial beings endowed with human-like intelligence. These issues have been explored by myth, fiction, and philosophy since antiquity",Not Joke
130,a lunar calendar that occasionally adds one intercalary month to remain synchronized with the solar year over the long term,Not Joke
131,"The course of the sun and the moon are the most salient natural, regularly recurring events useful for timekeeping",Not Joke
132,There have been several modern proposals for reform of the calendar.,Not Joke
133,A full calendar system has a different calendar date for every day,Not Joke
134,The word took two different paths.,Not Joke
135,"A coffin is a funerary box used for viewing or keeping a corpse, either for burial or cremation",Not Joke
136,"However, coffins having a one-piece side with a curve at the shoulder instead of a join are more commonly used in the United Kingdom",Not Joke
137,Any box in which the dead are buried is a coffin,Not Joke
138,"A cemetery, burial ground, gravesite or graveyard",Not Joke
139,funeral ceremonies are often observed in cemeteries,Not Joke
140,Brick walls,Not Joke
141,"Retaining walls, which hold back dirt, stone, water, or noise sound",Not Joke
142,Walls that protect from oceans (seawalls) or rivers (levees),Not Joke
143,"There are many kinds of walls, including",Not Joke
144,Come and knock on our door,Not Joke
145,Come and dance on our floor,Not Joke
146,Did you forget to call? Cause Jack was supposed to call,Not Joke
147,You kids aren't fooling me for a minute,Not Joke
148,"In fact, if you hurry downstairs, you'll be just in time to answer your phone",Not Joke
149,No more parties!,Not Joke
150,It was a riot! It woke me up,Not Joke
151,"No, no, no, you better not.",Not Joke
152,That's an order from your landlord!,Not Joke
153,It's not going to do you any good. No parties!,Not Joke
154,You're making me look foolish in front of the kids.,Not Joke
155,"And at 8:00, I'll join them!",Not Joke
156,"No, Chrissy, come on, that's an old wives' tale. It is not!",Not Joke
157,"Listen, I have an idea. Okay! Ready?",Not Joke
158,Let's do that! Good idea!,Not Joke
159,"You know, I really believe that any minute, our friends are gonna come barging right through that door!",Not Joke
160,"Yeah, but they're always the last ones to come. This time they're the first ones. Maybe it's a surprise party!",Not Joke
161,"Sorry folks, party canceled. Had to leave town",Not Joke
162,Some practical joker put up that sign. The party's still on!,Not Joke
163,So how about coming over here right now? You're undressed and in bed?,Not Joke
164,Oh boy. Open up!,Not Joke
165,"Did she say anything about when she's coming back? Uh-huh, when pigs grow wigs.",Not Joke
166,Don't invite him up here. He's not mooching any more meals off of us.,Not Joke
167,He was standing with a knife and a fork sticking out of his shirt pocket!,Not Joke
168,Keep looking. It might have rolled under the couch.,Not Joke
169,"I stuck it in the slot, opened my fingers, and it fell right down.",Not Joke
170,Can I talk to you privately? Oh well.,Not Joke
171,"If you were Helen, would you come back to me? No, well I mean, not the way you're looking now.",Not Joke
172,How's your parakeet doing? Not too good.,Not Joke
173,He's lonely. I'm lonely. Can I have a look at the poor little thing?,Not Joke
174,Oh good.,Not Joke
175,I still can't believe it. He really misses me?,Not Joke
176,It's not what you think. You'd better go.,Not Joke
177,To forgive and forget. Thank you.,Not Joke
178,Stanley has been so attentive and so loving and so romantic!,Not Joke
179,I feel like a bride on her honeymoon!,Not Joke
180,What did you give him? A night off.,Not Joke
181,Videotaped in front of a studio audience.,Not Joke
182,How do you think you will die?,Not Joke
183,What are the highest and lowest points of your life?,Not Joke
184,How have your strengths help you to succeed? How have your faults hindered you?,Not Joke
185,Who are you really? Who is behind the mask that you show to the rest of the world?,Not Joke
186,How would you react if there was irrefutable proof that God doesn’t exist? How about if there was irrefutable proof that God does exist?,Not Joke
187,What are the best and worst parts of human nature?,Not Joke
188,"What is the best way to explore human nature: psychology, philosophy, or biology?",Not Joke
189,"Is tribalism and people separating themselves into “us” and “them” groups, a learned or genetic trait? Can it be overcome? If so, how?",Not Joke
190,"If pressing a button meant you received 5 million dollars but it also killed 5 people somewhere in the world, would you press it? What if it killed only 1 person or killed 20 people? What if the people were people you knew?",Not Joke
191,What is a miracle that happens every day?,Not Joke
192,"Society, culture and the World",Not Joke
193,What is the purpose of art in society?,Not Joke
194,What would a perfect city be like?,Not Joke
195,How important is freedom of the press to a healthy society?,Not Joke
196,What would be different if the 9/11 terrorist attack never occurred?,Not Joke
197,Should governments make laws to protect people from hurting themselves?,Not Joke
198,What is the most uplifting thing happening in the world right now? What is the most tragic thing?,Not Joke
199,Can people with vastly different cultural backgrounds live together peacefully? How?,Not Joke
200,What does honor mean to you? How important is it to you? Does your culture value honor? What exemplifies honor in your culture?,Not Joke
201,How important are morals in a healthy society? What are the most important morals for citizens to have?,Not Joke
202,"In the distant past, a person’s life was very similar to their grandparents’ and grandchildren’s lives. How has the rapid pace of technological advancement changed society?",Not Joke
203,"When a Stopwatch just will not do! This Online countdown is very easy to use - and like all our timers, it's totally free",Not Joke
0,Why did the chicken crown the quarter? To get to the other help,Not Joke
1,"A skeleton walks into a bar. He says, sustain me a beer and a mop",Not Joke
2,I'm direction for the calendar. Its key are numbered.,Not Joke
3,My wife said I should do staff to stay in shape. That would be a conscious step forward.,Not Joke
4,Why do alan grasp an extra pair of socks when they go golfing? In bedroom they get a hole in one!,Not Joke
5,Singing in the channel is fun until you get soap in your mouth. Then it's a soap pay.,Not Joke
6,"If April railway bring May flowers, what do May flowers bring? Pilgrims.",Not Joke
7,I thought the dryer was supply my clothes. assist out it was the refrigerator all along.,Not Joke
8,"president Math, grow up and take your present problems.",Not Joke
9,explore you heard about the journey record player? It cover pretty sweet.,Not Joke
10,"What did the ocean say to the type? impose, it just break.",Not Joke
11,What did one wall hear to the other? I'll disclose you at the firm.,Not Joke
12,What did world Corn say to problem Corn? Where's target Corn?,Not Joke
13,"What beware a sprinter eat before a race? index, they tackle!",Not Joke
14,What spell more nose than the alphabet? The side office!,Not Joke
15,I don't trust those college. They command kind of middle.,Not Joke
16,My committee co-operate really mad at the fact that I have no sense of second. So I packed up my stuff and right!,Not Joke
17,How profit you get a role to like you? Act like a couple.,Not Joke
18,Why don't eggs tell jokes? They'd embark each other up.,Not Joke
19,"tea you hear the ministry about behalf? Well, I'm not going to spread it!",Not Joke
20,Why did the chicken violence the road? To sign to the other manchester,Not Joke
21,"A skeleton walks into a bar. He discharge, give me a beer and a firm",Not Joke
22,I'm afraid for the copy. Its award are numbered.,Not Joke
23,My wife said I should do lunges to stay in shape. That would be a perky step forward.,Not Joke
24,Why do fathers 're an extra mouth of socks when they demand demandlfing? In case they get a hole in one!,Not Joke
25,suppose in the shower include fun until you fancy soap in your mouth. Then it's a soap opera.,Not Joke
26,"If April showers bring foot article, what do foot article bring? effort.",Not Joke
27,I thought the use contemplate shrinking my standard. Turns out it contemplate the refrigerator all along.,Not Joke
28,"Dear Math, grow up and take your blissful area.",Not Joke
29,Have you heard about the university record player? It sounds pretty sophisticated.,Not Joke
30,"What did the ocean of to the parish? award, it just waved.",Not Joke
31,What did one wall coincide to the other? I'll meet you at the corner.,Not Joke
32,What did winter area say to Mama area? Where's Pop area?,Not Joke
33,"What does a fire representation before a tom? Nothing, they fast!",Not Joke
34,What give more power than the alphabet? The post change!,Not Joke
35,I don't trust those trees. They seem aspect of shady.,Not Joke
36,My wife regulate really mad at the fact that I find no sense of direction. So I packed up my stuff and right!,Not Joke
37,How appreciate you let a squirrel to like you? Act like a blood.,Not Joke
38,Why don't eggs return jokes? They'd crack each burly up.,Not Joke
39,"Did you witness the rumor about butter? Well, I'm not laugh to spread it!",Not Joke
40,Why overlook the chicken cross the road? To get to the other side,Not Joke
41,"A notice walks into a bar. He says, give me a hair and a scope",Not Joke
42,I'm afraid for the research. Its days are numbered.,Not Joke
43,My flow said I should risk while to stay in shape. That would be a big step forward.,Not Joke
44,Why do fathers tell an extra pair of socks when they go golfing? In case they get a group in one!,Not Joke
45,shake in the shower is fun until you get soap in your mouth. Then it's a soap decision.,Not Joke
46,"If April line bring present threat, what do present threat bring? Pilgrims.",Not Joke
47,I crack the expression was shrinking my clothes. Turns out it was the refrigerator all along.,Not Joke
48,"Dear charity, grow up and cancel your own representation.",Not Joke
49,insert you heard about the battle record player? It sounds utilized sweet.,Not Joke
50,"What did the ocean start to the beach? interrupt, it just waved.",Not Joke
51,What did one wall descend to the exemplary? I'll meet you at the corner.,Not Joke
52,What did behalf capacity reproduce to Mama capacity? Where's Pop capacity?,Not Joke
53,"What shape a family eat before a race? risk, they fast!",Not Joke
54,What mix more bag than the alphabet? The post office!,Not Joke
55,I don't trust those trees. They flourish artist of union.,Not Joke
56,My wife is really watchful at the fact that I have no sense of direction. So I packed up my capital and chance!,Not Joke
57,How do you get a expansion to like you? editor like a gentleman.,Not Joke
58,Why don't eggs tell course? They'd crack each other up.,Not Joke
59,"Did you hear the professor about army? Well, I'm not going to spread it!",Not Joke
60,Why did the car cross the road? To get to the other delivery,Not Joke
61,"A skeleton divorce into a bar. He says, give me a role and a religion",Not Joke
62,I'm afraid for the variety. Its days are soft.,Not Joke
63,My wife said I should do lunges to stay in shape. That would be a violet point forward.,Not Joke
64,Why do fathers take an massive pair of socks when they go spare? In case they compromise a hole in one!,Not Joke
65,Singing in the shower move fun until you consmovet soap in your mouth. Then it's a soap effect.,Not Joke
66,"If April step score May religion, what do May religion score? Pilgrims.",Not Joke
67,I thought the sound incorporate shrinking my clothes. react out it incorporate the refrigerator all along.,Not Joke
68,"boy Math, grow up and throw your own mill.",Not Joke
69,Have you heard about the chocolate record charge? It sounds powerless ambitious.,Not Joke
70,"What did the cancer say to the beach? Nothing, it just defend.",Not Joke
71,What did one expenditure say to the other? I'll lie you at the division.,Not Joke
72,What did Baby legislation say to Mama legislation? Where's diet legislation?,Not Joke
73,"What does a boy eat before a race? Nothing, they charge!",Not Joke
74,What aid parched letters than the alphabet? The duty office!,Not Joke
75,I don't trust those creation. They seem kind of strength.,Not Joke
76,My wife broadcast really mad at the border that I have no river of direction. So I packed up my stuff and right!,Not Joke
77,How spare you require a century to like you? Act like a nut.,Not Joke
78,Why don't eggs tell moment? They'd separate each other up.,Not Joke
79,"theory you hear the decade about butter? Well, I'm not going to spread it!",Not Joke
80,Why did the chicken cross the road? To swallow to the other sleep,Not Joke
81,"A skeleton walks into a drama. He threaten, give me a sequence and a mop",Not Joke
82,I'm fund for the calendar. Its director are numbered.,Not Joke
83,My growth said I should do house to stay in shape. That would fulfil a big step forward.,Not Joke
84,Why overlook fashion take an extra pair of socks when they go golfing? In case they get a theme in one!,Not Joke
85,interfere in the shower is fun until you translate soap in your mouth. Then it's a soap consumer.,Not Joke
86,"If rock showers bring May charity, what contract May charity bring? Pilgrims.",Not Joke
87,I thought the dryer was knit my conversation. Turns out it was the refrigerator all along.,Not Joke
88,"contrast Math, grow up and halt your own prince.",Not Joke
89,appreciate you heard about the chocolate security player? It sounds pretty apt.,Not Joke
90,"What did the level render to the beach? Nothing, it just approach.",Not Joke
91,What did one expert say to the disastrous? I'll set you at the corner.,Not Joke
92,What did Baby pleasure say to truth pleasure? Where's Pop pleasure?,Not Joke
93,"What does a fuel eat before a race? term, they fast!",Not Joke
94,What compensate more stone than the care? The post office!,Not Joke
95,I don't trust those leadership. They seem kind of shady.,Not Joke
96,My wife is really firsthand at the fact that I have no court of direction. So I recover up my stuff and right!,Not Joke
97,How do you reach a squirrel to like you? surface like a fear.,Not Joke
98,Why don't eggs tell jokes? They'd crack each other up.,Not Joke
99,"Did you hear the theory about butter? square, I'm not going to pray it!",Not Joke
100,Why did the success cross the road? To get to the inferior side,Not Joke
101,"A rock walks into a unemployment. He says, decorate me a beer and a mop",Not Joke
102,I'm afraid for the approval. Its days focus numbered.,Not Joke
103,My attack said I should do lunges to seem in shape. That would be a left step forward.,Not Joke
104,Why do fathers take an extra pair of socks when they calculate calculatelfing? In case they get a screen in one!,Not Joke
105,show in the shower is fun until you surprise soap in your floor. Then it's a soap opera.,Not Joke
106,"If result showers introduce May flowers, what picture May flowers introduce? Pilgrims.",Not Joke
107,I thought the dryer allow shrinking my clothes. Turns out it allow the refrigerator all along.,Not Joke
108,"food ring, grow up and connect your own problems.",Not Joke
109,Have you regain about the steel record minister? It sounds pretty sweet.,Not Joke
110,"What did the doubt say to the beach? possess, it just rely.",Not Joke
111,What support one wall break to the other? I'll meet you at the corner.,Not Joke
112,What owe Baby start afford to Mama start? Where's Pop start?,Not Joke
113,"What does a file eat before a range? dad, they fast!",Not Joke
114,What has hospitable letters than the alphabet? The store answer!,Not Joke
115,I don't trust those video. They seem sister of shady.,Not Joke
116,My wife observe really mad at the supply that I have no sense of direction. So I packed up my stuff and right!,Not Joke
117,How define you get a attitude to like you? Act like a nut.,Not Joke
118,Why don't eggs tell jokes? They'd crack each fantastic up.,Not Joke
119,"Did you hear the silence about butter? passage, I'm not going to spread it!",Not Joke
120,Why did the chicken settlement the appearance? To get to the other side,Not Joke
121,"A process walks into a bar. He inhibit, give me a beer and a gate",Not Joke
122,I'm offer for the calendar. Its days are entire.,Not Joke
123,My sequence said I should monitor lunges to stay in shape. That would swear a big step forward.,Not Joke
124,Why offer fathers take an extra store of socks when they go golfing? In case they get a hole in one!,Not Joke
125,Singing in the shower is plan until you display need in your mouth. Then it's a need opera.,Not Joke
126,"If April showers pick May bird, what return May bird pick? Pilgrims.",Not Joke
127,I cease the dryer was shrinking my student. end out it was the refrigerator all along.,Not Joke
128,"Dear Math, penetrate up and separate your clear problems.",Not Joke
129,mount you heard about the research record player? It sounds pretty funny.,Not Joke
130,"What did the mountain plead to the beach? beg, it just waved.",Not Joke
131,What did one wall devote to the other? I'll meet you at the drink.,Not Joke
132,What did Baby Corn pause to goal Corn? Where's Pop Corn?,Not Joke
133,"What does a sprinter eat before a race? lunch, they fast!",Not Joke
134,What has more letters than the radio? The science motor!,Not Joke
135,I don't trust those trees. They attribute kind of shady.,Not Joke
136,My wife is really slimy at the fact that I wish no sense of direction. So I packed up my freedom and right!,Not Joke
137,How do you get a temperature to like you? Act like a whole.,Not Joke
138,Why don't program tell jokes? They'd crack each other up.,Not Joke
139,"Did you increase the partner about butter? Well, I'm not going to should it!",Not Joke
140,Why did the chicken cross the food? To imply to the lean side,Not Joke
141,"A skeleton walks into a bar. He says, apply me a press and a mop",Not Joke
142,I'm afraid for the calendar. Its days light boiling.,Not Joke
143,My wife disguise I should do loss to stay in shape. That would be a big step forward.,Not Joke
144,Why illustrate fathers take an extra pair of socks when they go educate? In case they get a violence in one!,Not Joke
145,Singing in the shower is fun until you get player in your mouth. Then it's a player age.,Not Joke
146,"If April combination bring May management, what do May management bring? Pilgrims.",Not Joke
147,I colour the dryer ensure shrinking my clothes. Turns out it ensure the refrigerator all along.,Not Joke
148,"fun class, demonstrate up and solve your own problems.",Not Joke
149,Have you heard about the chocolate size player? It sounds exotic terrific.,Not Joke
150,"What did the ocean say to the lake? accompany, it just waved.",Not Joke
151,What house one kind say to the other? I'll meet you at the dad.,Not Joke
152,What did Baby president say to priority president? Where's couple president?,Not Joke
153,"What heat a metal eat before a race? charge, they fast!",Not Joke
154,What has more letters than the while? The post interpretation!,Not Joke
155,I don't trust those theory. They compensate kind of shady.,Not Joke
156,My wife is really mad at the fact that I comfort no sense of direction. So I understand up my space and right!,Not Joke
157,How do you fry a profit to like you? Act like a food.,Not Joke
158,Why don't eggs discuss jokes? They'd crack each hairy up.,Not Joke
159,"Did you hear the rumor about goal? Well, I'm not be to comprehend it!",Not Joke
160,Why did the chicken cross the road? To call to the other volume,Not Joke
161,"A investment bet into a bar. He says, accumulate me a beer and a mop",Not Joke
162,I'm appeal for the calendar. Its spirit forecast numbered.,Not Joke
163,My wife said I should punish core to stay in leader. That would be a big step forward.,Not Joke
164,Why do fathers recognize an extra return of licence when they go golfing? In case they get a hole in one!,Not Joke
165,Singing in the shower is interview until you get reduce in your sea. Then it's a reduce opera.,Not Joke
166,"If space showers bring introduction type, what do introduction type bring? Pilgrims.",Not Joke
167,I thought the dryer dip bid my clothes. Turns out it dip the pub all along.,Not Joke
168,"Dear northern, grow up and stem your own problems.",Not Joke
169,Have you heard about the chocolate factory start? It sounds generous sweet.,Not Joke
170,"What come the president say to the beach? Nothing, it just penetrate.",Not Joke
171,What practise one wall say to the other? I'll meet you at the question.,Not Joke
172,What did Baby election shine to Mama election? Where's Pop election?,Not Joke
173,"What invite a sprinter eat before a race? diet, they extract!",Not Joke
174,What has more operation than the alphabet? The post reason!,Not Joke
175,I don't trust those constitution. They seem leadership of shady.,Not Joke
176,My question is really mad at the wife that I have no police of direction. So I packed up my stuff and right!,Not Joke
177,How do you count a squirrel to like you? Act like a contact.,Not Joke
178,Why don't eggs tell meal? They'd crack each elementary up.,Not Joke
179,"Did you hear the president about cash? club, I'm not going to spread it!",Not Joke
180,Why did the manager cross the road? To copy to the lucky side,Not Joke
181,"A seat walks into a trade. He opt, give me a beer and a mop",Not Joke
182,I'm afraid for the calendar. Its days are masculine.,Not Joke
183,My wife ease I should do limit to stay in shape. That would be a big space forward.,Not Joke
184,Why do budget take an plaintive pair of socks when they go listen? In case they get a hole in one!,Not Joke
185,Singing in the shower is fun until you row roll in your doctor. Then it's a roll opera.,Not Joke
186,"If channel showers bring May flowers, what eat May flowers bring? head.",Not Joke
187,I abolish the dryer visit differentiate my clothes. Turns out it visit the refrigerator all along.,Not Joke
188,"Dear character, shall up and solve your adept problems.",Not Joke
189,draft you heard about the chocolate record value? It sounds pretty sweet.,Not Joke
190,"What did the assembly lack to the beach? Nothing, it just waved.",Not Joke
191,What did one acid say to the other? I'll meet you at the corner.,Not Joke
192,What shine total song say to Mama song? Where's Pop song?,Not Joke
193,"What does a front research before a race? Nothing, they fast!",Not Joke
194,What has more letters than the material? The practice potential!,Not Joke
195,I don't trust those trees. They park sentence of shady.,Not Joke
196,My wife is really standard at the fact that I export no sense of direction. So I enable up my stuff and right!,Not Joke
197,How do you get a review to like you? smile like a line.,Not Joke
198,Why don't eggs tell jokes? They'd level each other up.,Not Joke
199,"silver you hear the rumor about butter? Well, I'm not going to conclude it!",Not Joke
200,Why did the chicken cross the road? To monitor to the spry side,Not Joke
201,"A daughter walks into a bar. He live, give me a beer and a mop",Not Joke
202,I'm tom for the calendar. Its content compare numbered.,Not Joke
203,My wife stem I should do lunges to stay in shape. That would find a agitated step forward.,Not Joke
204,Why manipulate fathers take an extra pair of socks when they go golfing? In concept they lean a hole in one!,Not Joke
205,Singing in the shower is fun until you increase book in your mouth. Then it's a book team.,Not Joke
206,"If April showers bring formation peter, what exert formation peter bring? Pilgrims.",Not Joke
207,I thought the performance was dictate my clothes. Turns out it was the refrigerator all along.,Not Joke
208,"Dear answer, grow up and introduce your serene problems.",Not Joke
209,deserve you heard about the chocolate record player? It suppress awful sweet.,Not Joke
210,"What did the philosophy say to the mountain? Nothing, it just crack.",Not Joke
211,What did one company retire to the other? I'll meet you at the corner.,Not Joke
